ts,Temperature,Flow,Pressure,AccumulateFlow
2023-06-14 14:13:44+00:00,27.1,0,1.61,860
2023-06-14 14:14:06+00:00,27.1,0,1.61,860
2023-06-14 14:14:39+00:00,27.1,36,1.61,870
2023-06-14 14:16:00+00:00,27.1,0,1.8,910
2023-06-14 13:56:18+00:00,27.1,0,3.49,440
2023-06-14 14:14:10+00:00,27.1,0,1.62,860
2023-06-14 13:49:53+00:00,27.6,0,1.49,250
2023-06-14 13:49:57+00:00,27.6,0,1.48,250
2023-06-14 13:49:29+00:00,27.6,28,1.5,240
2023-06-14 13:49:39+00:00,27.6,0,1.5,240
2023-06-14 13:49:46+00:00,27.6,38,1.5,240
2023-06-14 13:49:50+00:00,27.6,35,1.5,250
2023-06-14 13:50:01+00:00,27.6,0,1.5,250
2023-06-14 13:50:07+00:00,27.6,27,1.5,250
2023-06-14 13:50:14+00:00,27.6,58,3.51,250
2023-06-14 13:49:43+00:00,27.6,0,1.51,240
2023-06-14 13:50:04+00:00,27.6,35,1.51,250
2023-06-14 13:50:43+00:00,27.3,36,3.4,270
